Altered Carbon,Richard K. Morgan,,San Francisco
Angels in America,Tony Kushner,,San Francisco
Around the World in Eighty Days,Jules Verne,,San Francisco
Bite Me: A Love Story,Christopher Moore,,San Francisco
Black Wind,F Paul Wilson,,San Francisco
Bloodsucking Fiends: A Love Story,Christopher Moore,,San Francisco
Bone,Fae Ng,,San Francisco
Bridge trilogy,William Gibson,,San Francisco
The City, Not Long After,Pat Murphy,,San Francisco
Confessions of a Catnip Junkie,Allan Goldstein,,San Francisco
The Crying of Lot 49,Thomas Pynchon,,San Francisco
Dharma Bums,Jack Kerouac,,San Francisco
Do Androids Dream of Electric Sheep,Philip K. Dick,,San Francisco
Going To See The Elephant,Rodes Fishburne,,San Francisco
The Golden Gate,Vikram Seth,,San Francisco
Holy Fire,Bruce Sterling,,San Francisco
The Joy Luck Club,Amy Tan,,San Francisco
The Kite Runner,Khaled Hosseini,,San Francisco
Little Brother,Cory Doctorow,,San Francisco
Love Aaj Kal,Imtiaz Ali,,San Francisco
Maltese Falcon,Dashiell Hammett,,San Francisco
Martin Eden,Jack London,,San Francisco
McTeague,Frank Norris,,San Francisco
Nightwood,Djuna Barnes,,San Francisco
On the Road,Jack Kerouac,,San Francisco
Our Lady of Darkness (vignette),Fritz Leiber,,San Francisco
Postsingular,Rudy Rucker,,San Francisco
SoMa,Kemble Scott,,San Francisco
Tales of the City,Armistead Maupin,,San Francisco
The Time of Your Life,William Saroyan,,San Francisco
Valencia,Michelle Tea,,San Francisco
A Visit From the Goon Squad,Jennifer Egan,,San Francisco
You Suck: A Love Story,Christopher Moore,,San Francisco
